,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
19440,41031,2016.0,CA,2.0,2,1.0,1.0,42.49441,2010.0,292797.6875,2807.21472599903
19441,41032,2016.0,CA,2.0,5,1.0,1.0,2.379422,2010.0,16580.421875,771.372408248569
19442,41033,2016.0,CA,7.0,14,1.0,1.0,64.68711,2010.0,445620.4140625,5850.59233908224
19443,41034,2016.0,CA,2.0,11,2.0,1.0,465.1825,2010.0,3215323.23046875,7942.82657668384
19444,41035,2016.0,CA,2.0,10,1.0,1.0,88.57339,2010.0,613320.4296875,5596.33661269159
19445,41036,2016.0,CA,7.0,4,1.0,1.0,2.858218,2010.0,19823.19140625,810.671111717404
19446,41037,2016.0,CA,2.0,9,1.0,1.0,16.44187,2010.0,114827.23828125,1540.28963891137
19447,41038,2016.0,CA,2.0,14,1.0,1.0,58.76016,2010.0,387197.0703125,2927.93480714176
19448,41039,2016.0,CA,3.0,10,1.0,1.0,55.2786,2010.0,322540.76953125,2912.64339009464
19449,41040,2016.0,CA,3.0,14,1.0,1.0,44.1466,2010.0,267863.99609375,3309.32840876359
19450,41041,2016.0,CA,3.0,14,1.0,1.0,0.1527542,2010.0,930.32421875,132.230661594647
19451,41042,2016.0,CA,3.0,14,1.0,1.0,65.12898,2010.0,396822.01171875,4433.47095200855
19452,41043,2016.0,CA,3.0,14,1.0,1.0,1.172981,2010.0,7127.65625,574.669745536826
19453,41044,2016.0,CA,3.0,14,1.0,1.0,0.8538342,2010.0,5217.4296875,462.623010253678
19454,41045,2016.0,CA,3.0,14,1.0,1.0,4.356924,2010.0,26680.2578125,731.172757713159
19455,41046,2016.0,CA,3.0,14,1.0,1.0,2.665767,2010.0,16225.390625,904.040553531322
19456,41047,2016.0,CA,3.0,14,1.0,1.0,2.911362,2010.0,17612.828125,610.489796185858
19457,41048,2016.0,CA,3.0,14,1.0,1.0,3.463308,2010.0,21095.21875,940.356748149619
19458,41049,2016.0,CA,3.0,14,1.0,1.0,515.6979,2010.0,3132552.3125,7663.72453184689
19459,41050,2016.0,CA,3.0,14,1.0,1.0,5.662165,2010.0,34424.96484375,1498.78503870838
19460,41051,2016.0,CA,3.0,14,1.0,1.0,7.921784,2010.0,47814.0234375,1177.66354459988
19461,41052,2016.0,CA,3.0,14,1.0,1.0,1.119939,2010.0,6844.640625,619.910321157779
19462,41053,2016.0,CA,3.0,14,1.0,1.0,1563.429,2010.0,9502161.9140625,21834.5779619854
19463,41054,2016.0,CA,3.0,14,1.0,1.0,1.616614,2010.0,9839.22265625,621.973226798236
19464,41055,2016.0,CA,3.0,14,1.0,1.0,11.64292,2010.0,70518.92578125,1433.01399706938
19465,41056,2016.0,CA,3.0,14,1.0,1.0,2.934704,2010.0,17857.59765625,642.977519494347
19466,41057,2016.0,CA,3.0,14,1.0,1.0,2.341895,2010.0,14243.359375,690.102568567768
19467,41058,2016.0,CA,3.0,14,1.0,1.0,1.215325,2010.0,7367.359375,357.332005381657
19468,41059,2016.0,CA,3.0,14,1.0,1.0,14.09687,2010.0,85347.1328125,1757.86139646276
19469,41060,2016.0,CA,3.0,14,1.0,1.0,1.729471,2010.0,10567.49609375,490.550180300391
19470,41061,2016.0,CA,3.0,14,1.0,1.0,17.84402,2010.0,106501.25,1774.63039549447
19471,41062,2016.0,CA,2.0,14,1.0,1.0,2.664976,2010.0,18539.78515625,529.188193229776
19472,41063,2016.0,CA,2.0,14,1.0,1.0,75.94509,2010.0,527335.4453125,5402.55329268032
19473,41064,2016.0,CA,7.0,5,1.0,1.0,3.267356,2010.0,22600.7421875,661.388366770429
19474,41065,2016.0,CA,2.0,11,1.0,1.0,320.7015,2010.0,2233946.9921875,7205.37362251956
19475,41066,2016.0,CA,2.0,2,1.0,1.0,26.22033,2010.0,181587.26171875,2413.80976768082
19476,41067,2016.0,CA,2.0,5,1.0,1.0,1.854401,2010.0,12838.359375,467.166677338256
19477,41068,2016.0,CA,2.0,11,1.0,1.0,1.874882,2010.0,13029.703125,508.193525233788
19478,41069,2016.0,CA,2.0,14,1.0,1.0,33.72674,2010.0,221395.828125,2468.65308484438
19479,41070,2016.0,CA,2.0,2,1.0,1.0,57.29215,2010.0,373808.8671875,3461.90870529958
19480,41071,2016.0,CA,2.0,2,1.0,1.0,72.37766,2010.0,475103.07421875,4707.43830589681
19481,41072,2016.0,CA,2.0,10,3.0,1.0,930.5065,2010.0,6038855.76171875,16969.9950733151
19482,41073,2016.0,CA,2.0,2,1.0,1.0,340.5402,2010.0,2228118.40234375,10853.7647263817
19483,41074,2016.0,CA,2.0,14,1.0,1.0,34.95294,2010.0,227941.0078125,2531.14063488783
19484,41075,2016.0,CA,2.0,10,1.0,1.0,447.9559,2010.0,2938853.0,8703.10900204239
19485,41076,2016.0,CA,2.0,10,1.0,1.0,33.58725,2010.0,218150.19921875,2252.97534329209
19486,41077,2016.0,CA,2.0,9,1.0,1.0,81.88184,2010.0,533184.453125,3287.53409980206
19487,41078,2016.0,CA,2.0,9,1.0,1.0,13.83262,2010.0,90120.65625,1539.44683453578
19488,41079,2016.0,CA,2.0,2,1.0,1.0,26.52328,2010.0,173402.70703125,2232.51002474649
19489,41080,2016.0,CA,2.0,2,1.0,1.0,19.64367,2010.0,127726.95703125,1461.21495343779
19490,41081,2016.0,CA,2.0,9,1.0,1.0,15.19233,2010.0,99630.0703125,1409.16898314863
